,Tipo,Título,Fecha,Duración,Número de videos,Link
32,Clase,Python Ficheros,26/07/2022 8:10:24,64,3,https://us02web.zoom.us/rec/share/N8bG4AOjhmmP4Oid-DApCQ4cwI1lKOZm70I1bf3IT5oYtPwy5r9wVYB0cpbv296r.1CO7FwhwKsq6ybvW
33,Clase,"SQL Consultas en múltiples tablas 3: UNION, INTERSECT, EXCEPT",26/07/2022 10:49:36,44,2,https://us02web.zoom.us/rec/share/mvaflRtQxFfMjXM1Ro7ZaDzHcJIBpiuMIShAKWsn_FSbPz1pohQDZ_qs_F89Lapq.dvRCvo-ibPia_iGk
34,Clase,Repaso funciones y ficheros,27/07/2022 8:23:23,225,6,https://us02web.zoom.us/rec/share/6seCwlGqbDZxtUdoBwLfwceJNaSPT6uvwHHJS_cOiGkJvgL44JS6kys8dMJQrQ_4.89lOR80C0JPO2wQU
35,Clase,Python Regex,28/07/2022 8:22:55,52,2,https://us02web.zoom.us/rec/share/rOuQwa00WaKTMf4nuyfrY3ylS46pUqFVawv5bn22vB694VTtWypqkdHnXuySzqdH.LF6geR32gA-uC2Zp
36,Clase ,SQL Consultas en múltiples tablas 4 Subconsultas,28/07/2022 10:50:50,52,3,https://us02web.zoom.us/rec/share/gpdYbPpWBZNvCJPv0PVz0_kzKnD15v0FSjn3LT530hOhY1B7N-vaYYoUZvKJUpI._CaBvBiFkYZhkDtb
37,Clase ,Python Python + SQL 1,29/07/2022 8:25:13,55,3,https://us02web.zoom.us/rec/share/aGnqGsjY8lhWOo6s2LdaIKo21xIk9IYhIsxQWXpIHDEZAcDvl0nAOc0yWGDuMS2n.rIKOIieCX0QR6Wny
38,Clase ,"SQL Consultas en múltiples tablas 5 Subconsultas correlacionas, LIKE",29/07/2022 10:51:48,39,3,https://us02web.zoom.us/rec/share/3-tEY6arhOIoBIDvdA1Cbggp-FYCIPxMDM_imVmyK0ZTnctFwi9LnKmRv4KkqPsu.PbOSsyVCXTq0IlPv
39,Clase ,Python Python + SQL 2,16/08/2022 8:13:58,46,2,https://us02web.zoom.us/rec/share/3jLWGifkpyWcZqBYbGfra_3QKpgAux-qNd7os6sKdRdG2-rhhgi4-M66WKZrCe7t.KQO-d93bsok6DUOy
40,Clase ,SQL CTE,16/08/2022 10:47:20,43,3,https://us02web.zoom.us/rec/share/bF4nYp7QXyV3wL1-GtC1Slbcyq_wuZLc-Cz4Su-lXcLW0aCKrsVe0BGcNQT16V93.Qo8R931NvdMaBCQ5
41,Clase ,Repaso Regex,17/08/2022 8:20:40,135,3,https://us02web.zoom.us/rec/share/NJctIci_bBucKIVF8rapVk4uV64hrJnsc9QEuRQs1rdK3i8bnXl_nTtNXQZ85dbD.jqjkdn3FAKNG4Yg5
42,Clase,Repaso Subconsultas y consultas correlacionadas,17/08/2022 10:51:22,114,3,https://us02web.zoom.us/rec/share/BU0IEq5HTgh8g46DDvlHLlALbfKmuy23wEmqMxSnoLWSjQE8YdZ1nE2gO2nFvWEG.gdOPjfGupTvD5OJQ
43,Clase,Final de módulo,19/08/2022 8:50:41,193,3,https://us02web.zoom.us/rec/share/ExVGcgce_M02DHlIZYbpp-mtH7vCNnzunRdth6x3mJU5-JBmSUPi1dUo4raMq1-W.0XgEqf3urvZXalvp
